Resource Identifier,Region,BinLogDiskUsage (Bytes),BurstBalance (Percent),CPUUtilization (Percent),DatabaseConnections (Count),DiskQueueDepth (Count),FailedSQLServerAgentJobsCount (Count/Second),FreeableMemory (Bytes),FreeStorageSpace (Bytes),NetworkReceiveThroughput (Bytes/Second),NetworkTransmitThroughput (Bytes/Second),ReadIOPS (Count/Second),ReadLatency (Seconds),ReadThroughput (Bytes/Second),ReplicaLag (Seconds),SwapUsage (Bytes),WriteIOPS (Count/Second),WriteLatency (Seconds),WriteThroughput (Bytes/Second)
kiuwaneu-pro-global-1,eu-west-1,0.0,0.0,7.11,495.08,2.69,0.0,48958288679.83,0.0,720374.14,7737942.55,0.44,0.0,7275.58,0.0,0.0,728.54,0.0,749792.73
kiuwaneu-pro-global-2,eu-west-1,0.0,0.0,1.45,1.3,0.0,0.0,81777191643.54,0.0,610.78,16134.25,0.17,0.0,2746.91,0.0,0.0,0.0,0.0,0.0
kiuwaneu-pro-shard1-1,eu-west-1,0.0,0.0,3.22,1.27,0.0,0.0,15162949488.39,0.0,575.29,13953.48,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
kiuwaneu-pro-shard1-2,eu-west-1,0.0,0.0,13.74,82.91,1.14,0.0,7198949381.99,0.0,65594.48,186544.42,70.41,0.0,1153582.77,0.0,1307824.65,501.19,0.0,1080392.87
kiuwaneu-pro-shard2-1,eu-west-1,0.0,0.0,1.54,1.27,0.0,0.0,28336031306.85,0.0,571.21,13975.62,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
kiuwaneu-pro-shard2-2,eu-west-1,0.0,0.0,4.96,82.26,0.72,0.0,13425761654.74,0.0,50672.3,238674.79,110.8,0.0,1815325.36,0.0,0.0,384.72,0.0,879863.77
kiuwaneu-pro-shard3-1,eu-west-1,0.0,0.0,1.44,1.27,0.0,0.0,82870899706.01,0.0,580.61,13988.69,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
kiuwaneu-pro-shard3-2,eu-west-1,0.0,0.0,9.32,87.56,5.66,0.0,36038936670.25,0.0,186846.85,563466.5,68.07,0.0,1115236.22,0.0,0.0,2365.01,0.0,3099813.74
kiuwaneu-pro-shard4-1,eu-west-1,0.0,0.0,5.56,75.84,0.07,0.0,10975053251.04,0.0,6999.51,22988.22,0.0,0.0,0.0,0.0,0.0,7.67,0.0,7242.01
kiuwaneu-pro-shard4-2,eu-west-1,0.0,0.0,2.65,1.26,0.0,0.0,15406222004.64,0.0,573.36,13950.51,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
kiuwaneu-pro-shard5-1,eu-west-1,0.0,0.0,2.7,0.0,0.0,0.0,15587904173.66,0.0,0.77,1.28,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
